protocol_id,scenario_id,contamination_tier,execution_level,execution_label,execution_mode,agent,seed,total_return,sharpe,max_drawdown,execution_fill_rate,rejected_order_count,total_slippage_cost,intent_risk_gap_l1,risk_execution_gap_l1,intent_execution_gap_l1,max_intent_execution_gap_l1,trajectory_reproducibility_coverage,evidence_tier,claim_scope
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,7,0.133342,16.088712,-3.4e-05,1.0,0,19.224836,0.231566,1.6e-05,0.231573,0.584447,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,signal-weighted,11,0.177122,14.791448,-0.004048,1.0,0,29.060336,0.477572,1.3e-05,0.477566,0.899999,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,7,0.189589,26.265633,-0.000105,1.0,0,26.099958,0.0,1e-05,1e-05,5.4e-05,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,naive-momentum,11,0.262969,26.137065,-0.000105,1.0,0,20.477096,0.0,1.9e-05,1.9e-05,8.8e-05,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,risk-parity,7,0.191584,24.184047,-0.006409,1.0,0,26.801171,0.0,2.1e-05,2.1e-05,0.000147,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,risk-parity,11,0.270228,29.34917,0.0,1.0,0,19.807976,0.0,2e-05,2e-05,0.000147,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,random,7,0.145095,17.22864,-0.001136,1.0,0,157.939426,0.0,3.4e-05,3.4e-05,0.000147,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E0,ideal execution,ideal,random,11,0.179088,16.410528,-0.00021,1.0,0,187.834152,0.0,5e-05,5e-05,0.000231,1.0,protocol-fixture,Idealized fill baseline for sensitivity analysis.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E1,paper stress execution,realistic,signal-weighted,7,0.122201,15.276202,-0.00024,0.941176,0,743.961509,0.231566,0.132024,0.288138,0.753405,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E1,paper stress execution,realistic,signal-weighted,11,0.18056,12.540574,-0.000764,0.918919,1,991.98918,0.477572,0.170792,0.546308,1.196475,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E1,paper stress execution,realistic,naive-momentum,7,0.151553,19.184388,-0.001519,0.904762,2,1282.863595,0.0,0.241624,0.241624,0.640497,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E1,paper stress execution,realistic,naive-momentum,11,0.260203,27.428672,-0.000435,0.930233,1,1537.318457,0.0,0.239962,0.239962,0.599737,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E1,paper stress execution,realistic,risk-parity,7,0.175287,20.131648,-0.007438,0.916667,2,1271.35567,0.0,0.24943,0.24943,0.7,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E1,paper stress execution,realistic,risk-parity,11,0.244642,22.125048,-0.001788,0.9375,1,1661.136888,0.0,0.245201,0.245201,0.7,1.0,protocol-fixture,Default paper-execution stress assumptions used for comparable leaderboard rows.
